teams_rows
name,short_code
Yellow Train School,YTS
SIS,SIS
Heritage,Heritage
Fountainhead,FH
Heritage,HER
CNS,CNS
Heritage,Heritage
Pathways World,PWS
Anand Niketan,AN
Ecole,ECO
The Gaudium,GAU
D.Y. Patil-Worli,DYPW
HLC,HLC
Garodia,GAR
Dhirubhai Ambani,DA
JBCN Parel,JBCN
Sreenidhi,SRE
Fountainhead,FH
Heritage,HER
Navrachna,NAV
HLC,HLC
Aditya Birla World,ABW
India Inter,INDINT
Pathways World,PWS
Rockwell Inter School,RIS
JPIS,JPIS
Wockhardt,WOC
Pathways-Noida,PN
DPSI,DPSI
Teoler Unbounded,TU
Chirec,CHI
Sreenidhi,SRE
Don Bosco,DB
Indus Bangaluru,IBLR
Oakridge,OAK
Mahindra International,MI
Corvuss,COR
Anand Niketan,AN
Don Bosco,DB
Ascend,ASC
DAIS,DAIS
Sanjay Ghodawat,SG
Teoler Unbounded,TU
Oakridge,OAK
Greenwood,GWD
Inventure Academy,IA
Nahar,NAH
Pathways Noida,PN
JPIS,JPIS
DPSI,DPSI
British School,TBS
Sancta Maria,SM
Adani,ADI
Heritage,HER
Oberoi-JVLR,OJV
B.D.Somani,BDS
DPSI,DPSI
Indus Hyderabad,IH
Indus-Pune,IP
Oberoi Goregaon,OG
Navrachna,NAV
Oberoi Goregaon,OG
Aditya Birla,AB
The Shri Ram School,TSR
Scottish High,SH
Indus-Hyderabad,IH
GMA,GMA
Yellow Train School,YTS
B.D.Somani,BDS
Sancta Maria,SM
JPIS,JPIS
Fountainhead,FH
The British School,TBS
Rockwell Inter,RWI
Symbiosis,SYM
The Shri Ram School,TSR
The British School,TBS
Kings College India,KCI
Sancta Maria,SM
Manchester,MAN
GMA,GMA
